director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Cyrus Nowrasteh , Adam Greaves-Neal,Sean Bean,David Bradley,Drama History,the young messiah, Adam Greaves-Neal Sean Bean David Bradley Cyrus Nowrasteh  Drama History
Bille Woodruff , Terrence J,Cassie Ventura,unknown,Comedy Romance,the perfect match, Terrence J Cassie Ventura unknown Bille Woodruff  Comedy Romance
Michael Showalter , Sally Field,Max Greenfield,unknown,Comedy Drama Romance,"hello, my name is doris", Sally Field Max Greenfield unknown Michael Showalter  Comedy Drama Romance
Patricia Riggen , Jennifer Garner,Martin Henderson,unknown,Drama,miracles from heaven, Jennifer Garner Martin Henderson unknown Patricia Riggen  Drama
John Carchietta , Nichole Bloom,Fabianne Therese,unknown,Drama Thriller,teenage cocktail, Nichole Bloom Fabianne Therese unknown John Carchietta  Drama Thriller
Robert Schwentke , Shailene Woodley,Theo James,Miles Teller,Adventure Science Fiction Action Mystery,the divergent series: allegiant, Shailene Woodley Theo James Miles Teller Robert Schwentke  Adventure Science Fiction Action Mystery
Bryan Buckley , Melissa Rauch,Thomas Middleditch,unknown,Drama Comedy,the bronze, Melissa Rauch Thomas Middleditch unknown Bryan Buckley  Drama Comedy
Jeff Nichols , Michael Shannon,Kirsten Dunst,unknown,Adventure Drama Science Fiction,midnight special, Michael Shannon Kirsten Dunst unknown Jeff Nichols  Adventure Drama Science Fiction
Zack Snyder , Henry Cavill,Ben Affleck,Amy Adams,Action Adventure Fantasy,batman v superman: dawn of justice, Henry Cavill Ben Affleck Amy Adams Zack Snyder  Action Adventure Fantasy
Kirk Jones , Nia Vardalos,John Corbett,unknown,Romance Comedy,my big fat greek wedding 2, Nia Vardalos John Corbett unknown Kirk Jones  Romance Comedy
Marc Abraham , Tom Hiddleston,Elizabeth Olsen,Cherry Jones,Music Drama,i saw the light, Tom Hiddleston Elizabeth Olsen Cherry Jones Marc Abraham  Music Drama
Richard Linklater , Will Brittain,Blake Jenner,Zoey Deutch,Comedy,everybody wants some!!, Will Brittain Blake Jenner Zoey Deutch Richard Linklater  Comedy
Harold Cronk , Melissa Joan Hart,Jesse Metcalfe,unknown,Drama,god's not dead 2, Melissa Joan Hart Jesse Metcalfe unknown Harold Cronk  Drama
Deon Taylor , Mike Epps,Gary Owen,unknown,Comedy Horror,meet the blacks, Mike Epps Gary Owen unknown Deon Taylor  Comedy Horror
Don Cheadle , Don Cheadle,Ewan McGregor,unknown,Drama,miles ahead, Don Cheadle Ewan McGregor unknown Don Cheadle  Drama
